resp31	Human coronavirus OC43
resp30	Human coronavirus NL63
resp29	Human coronavirus HKU1
resp28	Human coronavirus 229E
resp27	SARS-CoV-2
resp24	adenovirus
resp16  rhinovirus/enterovirus
resp9	 Human metapneumovirus (CAN97-83)
resp8	 Human parainlfuenza virus 4a
resp7	 Influenca B
resp6	Influenca A
resp5	Human parainlfuenza virus virus 3
resp4	Human parainlfuenza virus virus 2
resp3	Human parainlfuenza virus virus 1
resp1	Respiratory syncytial virus
flub4p	Influenza B
flua4p	Influenza A
rsv4p	Respiratory syncytial virus
wuhan0	 SARS-CoV-2
rspc	Respiratory syncytial virus
flub	Influenza B
flua	Influenza A
